Frame,ID,Label,x1,y1,x2,y2
1,0,player,794,470,864,566
1,1,player,431,160,467,227
1,2,player,839,187,873,247
1,3,player,392,422,457,500
1,4,player,140,266,190,347
1,5,player,1086,345,1137,443
1,6,player,704,82,733,128
1,7,player,887,124,913,177
1,8,player,370,154,405,217
1,9,player,721,195,757,262
1,10,player,1134,253,1181,338
1,11,player,1239,146,1269,210
1,12,player,532,428,581,520
1,13,player,559,94,582,145
1,14,player,638,221,662,296
1,12,player,494,430,540,519
2,0,player,804,467,874,562
2,5,player,1088,344,1149,440
2,3,player,403,421,461,498
2,1,player,382,155,419,216
2,15,player,443,160,480,227
2,4,player,154,265,204,347
2,12,player,529,428,579,518
2,2,player,850,187,878,248
2,9,player,732,194,761,262
2,6,player,718,83,745,128
2,13,player,570,95,596,145
2,7,player,899,125,923,177
2,10,player,1148,255,1187,340
2,11,player,1252,147,1280,211
2,12,player,497,432,537,520
2,0,player,804,467,845,555
2,12,player,508,430,536,520
2,14,player,650,221,672,296
3,4,player,164,264,215,347
3,0,player,813,465,883,559
3,5,player,1085,344,1158,439
3,15,player,455,160,494,227
3,1,player,396,155,431,216
3,9,player,741,194,771,263
3,3,player,415,418,460,499
3,13,player,579,95,610,146
3,2,player,862,187,891,249
3,7,player,912,125,933,176
3,6,player,732,83,756,128
3,12,player,533,429,574,517
3,10,player,1158,256,1192,340
3,11,player,1266,153,1280,213
3,12,player,499,432,539,513
3,12,player,507,459,540,519
4,2,player,873,185,904,248
4,0,player,822,463,889,551
4,5,player,1083,343,1134,439
4,4,player,173,265,226,347
4,15,player,468,161,507,226
4,13,player,591,96,624,146
4,3,player,426,417,466,499
4,1,player,410,154,444,216
4,9,player,752,192,783,264
4,6,player,745,83,765,127
4,7,player,924,125,945,176
4,10,player,1168,257,1195,340
4,12,player,533,429,574,515
4,12,player,499,434,542,514
5,4,player,182,265,235,347
5,9,player,760,193,795,265
5,2,player,882,185,917,249
5,5,player,1086,344,1137,441
5,0,player,831,462,894,545
5,15,player,480,161,519,226
5,13,player,605,97,635,147
5,3,player,434,416,481,498
5,1,player,423,154,454,216
5,10,player,1174,257,1207,340
5,7,player,936,125,959,177
5,6,player,758,82,776,128
5,12,player,533,428,577,518
5,12,player,493,434,542,510
6,2,player,889,185,928,248
6,0,player,839,460,897,547
6,13,player,618,97,648,146
6,9,player,770,193,806,266
6,15,player,493,160,529,226
6,4,player,192,267,238,347
6,3,player,431,414,493,499
6,5,player,1097,347,1138,442
6,10,player,1182,256,1220,340
6,7,player,948,124,971,178
6,1,player,436,154,463,215
